"first_win","Number One!","False","","Revealed","5","1"
"games_10","Getting Hooked","True","10","Revealed","10","2"
"games_100","Century Club","True","100","Revealed","20","3"
"games_500","Puzzle Addict","True","500","Revealed","50","4"
"speed_easy_5min","Speed Demon","False","","Revealed","15","5"
"speed_hard_15min","Lightning Brain","False","","Revealed","25","6"
"perfectionist_1","Flawless!","False","","Revealed","10","7"
"perfectionist_50","Perfectionist","True","50","Revealed","30","8"
"no_hints_25","Solo Solver","True","25","Revealed","25","9"
"streak_7","Week Warrior","False","","Revealed","15","10"
"streak_30","Monthly Master","False","","Revealed","50","11"
"daily_first","Daily Dose","False","","Revealed","5","12"
"daily_30","Daily Devotee","True","30","Revealed","25","13"
"daily_streak_7","Streak Keeper","False","","Revealed","20","14"
"try_killer","Killer Instinct","False","","Revealed","10","15"
"killer_50","Serial Killer","True","50","Revealed","30","16"
"level_10","Rising Star","False","","Revealed","20","17"
